probeID	correlation	p_value_order	p_value	effect_size	case_group	control_group
cg03699843	pos	316	0.0000102	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15928106	pos	317	0.0000103	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18681014	pos	318	0.0000104	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15589415	pos	319	0.0000105	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07790279	neg	320	0.0000108	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16399664	pos	321	0.0000108	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23251868	pos	322	0.000011	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23541926	pos	323	0.000011	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16174106	pos	324	0.0000112	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27489681	pos	325	0.0000116	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21062347	neg	326	0.0000116	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13157483	pos	327	0.0000116	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27107150	pos	328	0.0000118	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10051724	pos	329	0.0000121	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00131871	pos	330	0.0000124	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15480056	pos	331	0.0000124	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06744585	neg	332	0.0000124	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04731988	pos	333	0.0000125	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15465501	pos	334	0.0000126	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09259843	pos	335	0.0000126	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12135835	pos	336	0.0000127	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06216650	pos	337	0.0000129	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14598213	neg	338	0.0000131	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17107840	pos	339	0.0000132	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg26137417	pos	340	0.0000132	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25936358	pos	341	0.0000133	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20400592	neg	342	0.0000134	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21201294	pos	343	0.0000136	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14737994	neg	344	0.0000136	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11395949	pos	345	0.0000137	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05798429	pos	346	0.0000138	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04817996	neg	347	0.0000139	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27420590	pos	348	0.0000139	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08937102	pos	349	0.000014	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06713671	pos	350	0.0000141	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12634306	neg	351	0.0000143	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00996588	pos	352	0.0000143	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg19733736	pos	353	0.0000144	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24013213	pos	354	0.0000147	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18261944	pos	355	0.0000147	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18559785	pos	356	0.0000147	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21163444	pos	357	0.0000149	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18285722	pos	358	0.0000151	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08970226	neg	359	0.0000151	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02216206	pos	360	0.0000151	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23355492	neg	361	0.0000153	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00026362	neg	362	0.0000155	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24159436	pos	363	0.0000155	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04841121	pos	364	0.0000156	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11280661	pos	365	0.0000156	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11463113	pos	366	0.0000157	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13063614	neg	367	0.0000157	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15490785	pos	368	0.0000158	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16570294	pos	369	0.0000161	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06701796	pos	370	0.0000163	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10335826	pos	371	0.0000165	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00095326	neg	372	0.0000166	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21210537	pos	373	0.0000166	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23784413	pos	374	0.0000168	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02183491	neg	375	0.0000168	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23943829	pos	376	0.0000168	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08121041	pos	377	0.000017	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06148812	neg	378	0.0000171	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15442702	neg	379	0.0000171	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10512203	neg	380	0.0000172	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01802545	pos	381	0.0000172	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10820203	pos	382	0.0000172	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21229482	neg	383	0.0000173	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07572435	pos	384	0.0000173	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16625683	neg	385	0.0000174	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23739746	pos	386	0.0000175	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24530000	pos	387	0.0000176	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25217257	pos	388	0.0000178	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14896134	neg	389	0.0000178	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04302628	pos	390	0.0000179	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07196577	neg	391	0.0000182	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00619592	pos	392	0.0000182	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20129073	neg	393	0.0000182	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01332054	neg	394	0.0000183	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20547724	pos	395	0.0000183	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13790576	pos	396	0.0000184	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16251626	neg	397	0.0000185	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13808198	neg	398	0.0000187	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00564546	pos	399	0.0000187	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08855903	neg	400	0.0000191	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13420413	pos	401	0.0000192	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11224783	neg	402	0.0000193	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14586180	pos	403	0.0000193	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21339084	pos	404	0.0000194	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00164894	pos	405	0.0000199	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20335309	pos	406	0.00002	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09583379	pos	407	0.00002	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10866062	neg	408	0.0000201	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14722693	pos	409	0.0000203	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02571874	pos	410	0.0000209	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25953930	neg	411	0.0000211	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04299274	pos	412	0.0000213	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18402166	neg	413	0.0000214	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16744911	pos	414	0.0000218	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21935981	neg	415	0.0000218	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13954667	neg	416	0.000022	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23169111	pos	417	0.0000222	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00227093	pos	418	0.0000223	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21196038	pos	419	0.0000224	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg26640901	neg	420	0.0000228	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20563269	pos	421	0.0000229	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11800844	neg	422	0.000023	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00364001	pos	423	0.0000231	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02104049	pos	424	0.0000233	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg26690511	pos	425	0.0000233	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12598837	pos	426	0.0000233	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12152256	pos	427	0.0000233	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08983279	neg	428	0.0000236	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25243171	pos	429	0.0000238	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11573518	pos	430	0.000024	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14018024	pos	431	0.000024	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23332813	pos	432	0.0000241	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg19744173	pos	433	0.0000242	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11837749	pos	434	0.0000244	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18702935	pos	435	0.0000244	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06889975	neg	436	0.0000245	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg26804891	pos	437	0.0000245	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13733403	neg	438	0.0000246	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16103712	pos	439	0.0000246	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04272820	pos	440	0.0000247	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17377263	pos	441	0.0000248	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03078400	neg	442	0.0000249	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02872930	neg	443	0.0000252	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05699921	pos	444	0.0000253	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07150862	neg	445	0.0000255	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18348690	neg	446	0.0000256	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08691479	neg	447	0.0000256	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16762843	pos	448	0.0000256	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18988110	neg	449	0.0000256	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17957640	neg	450	0.0000257	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06155833	pos	451	0.0000258	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06624291	neg	452	0.0000259	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07380504	pos	453	0.0000263	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17980119	neg	454	0.0000264	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04384810	pos	455	0.0000264	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09570614	neg	456	0.0000264	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25487405	neg	457	0.0000265	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01841306	pos	458	0.0000265	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg19678959	neg	459	0.0000265	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11887376	pos	460	0.0000265	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03784882	pos	461	0.0000265	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08645860	pos	462	0.0000267	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15921980	pos	463	0.0000268	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13066703	pos	464	0.0000268	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07525267	pos	465	0.0000268	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27518892	pos	466	0.0000269	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04340114	neg	467	0.000027	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01316152	neg	468	0.0000271	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16451324	neg	469	0.0000271	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17304553	pos	470	0.0000271	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27210390	neg	471	0.0000272	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02619205	pos	472	0.0000277	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16426670	neg	473	0.0000279	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01723892	pos	474	0.000028	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20374173	neg	475	0.0000282	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25793587	pos	476	0.0000284	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg19761245	pos	477	0.0000287	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24258347	neg	478	0.0000289	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg19115941	pos	479	0.000029	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18059012	pos	480	0.0000291	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08576185	pos	481	0.0000293	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08305533	pos	482	0.0000293	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15006864	pos	483	0.0000294	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05310240	neg	484	0.0000295	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01799015	pos	485	0.0000295	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20675971	pos	486	0.0000296	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13448704	pos	487	0.0000296	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12986453	pos	488	0.0000297	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17329164	neg	489	0.0000297	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01894038	pos	490	0.00003	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11684541	pos	491	0.00003	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16048163	neg	492	0.00003	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01097408	pos	493	0.0000302	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03531211	pos	494	0.0000303	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11512608	neg	495	0.0000305	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02463253	pos	496	0.0000306	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00501467	neg	497	0.0000309	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21041956	neg	498	0.000031	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11249129	pos	499	0.0000311	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23005885	neg	500	0.0000312	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15149491	pos	501	0.0000313	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg22603569	pos	502	0.0000314	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04853218	neg	503	0.0000315	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05160910	pos	504	0.0000316	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04994481	neg	505	0.0000316	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01284448	pos	506	0.0000318	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25551168	pos	507	0.0000319	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03952736	pos	508	0.0000321	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23667541	pos	509	0.0000322	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09477019	neg	510	0.0000325	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16551665	neg	511	0.0000325	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03747456	pos	512	0.0000326	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02331272	pos	513	0.0000326	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07352544	pos	514	0.0000328	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg19884111	pos	515	0.0000331	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25073093	neg	516	0.0000331	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24899292	neg	517	0.0000332	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03123320	neg	518	0.0000333	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11347955	neg	519	0.0000335	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03479289	pos	520	0.0000342	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14469684	pos	521	0.0000343	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg19417168	neg	522	0.0000345	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05919461	neg	523	0.0000346	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05351785	pos	524	0.0000346	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21374307	pos	525	0.0000346	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07060794	pos	526	0.0000348	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03431738	neg	527	0.000035	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17288288	neg	528	0.0000351	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25983732	pos	529	0.0000351	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14553549	pos	530	0.0000353	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24798956	pos	531	0.0000354	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06577850	neg	532	0.0000356	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27490387	neg	533	0.0000357	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01194371	pos	534	0.0000357	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04322596	neg	535	0.0000358	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06934971	pos	536	0.000036	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27648858	pos	537	0.0000361	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03574306	neg	538	0.0000362	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08801887	neg	539	0.0000362	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00026033	neg	540	0.0000363	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12883617	neg	541	0.0000364	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17272224	neg	542	0.0000366	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10541534	neg	543	0.0000367	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00628277	neg	544	0.0000368	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15621458	pos	545	0.0000368	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03052541	pos	546	0.0000374	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17157234	pos	547	0.0000375	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08298591	neg	548	0.0000375	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12212393	pos	549	0.0000376	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01754713	neg	550	0.0000376	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14218962	pos	551	0.0000377	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01157467	pos	552	0.0000377	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13490227	neg	553	0.0000378	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02895278	pos	554	0.0000378	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06379435	pos	555	0.0000379	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg19413841	pos	556	0.000038	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07136133	pos	557	0.000038	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10729196	pos	558	0.0000382	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23222488	pos	559	0.0000386	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07123481	pos	560	0.0000386	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13783657	neg	561	0.0000387	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15833797	neg	562	0.0000387	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05876094	neg	563	0.0000389	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24757346	pos	564	0.0000391	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg19269426	pos	565	0.0000391	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12443604	neg	566	0.0000392	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12919119	pos	567	0.0000396	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25435643	pos	568	0.0000397	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18524788	neg	569	0.0000398	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07148296	neg	570	0.0000398	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14027524	pos	571	0.0000404	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25313090	pos	572	0.0000404	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02829654	pos	573	0.0000406	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08152445	pos	574	0.0000407	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13979708	pos	575	0.0000408	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07480762	pos	576	0.0000408	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27428520	pos	577	0.0000416	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12157444	pos	578	0.0000417	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16107105	neg	579	0.0000418	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00980581	neg	580	0.0000418	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24712244	pos	581	0.0000418	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08217545	pos	582	0.0000419	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12149609	neg	583	0.000042	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20003692	pos	584	0.0000421	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18049167	neg	585	0.0000421	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg19771173	neg	586	0.0000423	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00110041	pos	587	0.0000426	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02939781	pos	588	0.0000426	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25113767	pos	589	0.0000427	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21795221	neg	590	0.0000428	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05820066	pos	591	0.0000428	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg19881999	pos	592	0.0000429	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17214023	pos	593	0.000043	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04387952	pos	594	0.0000431	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03548266	pos	595	0.0000431	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17456644	pos	596	0.0000433	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08662074	neg	597	0.0000434	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14233720	pos	598	0.0000436	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01037703	pos	599	0.0000437	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18139800	pos	600	0.0000437	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01208814	neg	601	0.0000437	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14780255	pos	602	0.0000438	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04413853	neg	603	0.0000438	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24702451	pos	604	0.0000438	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg26394380	neg	605	0.000044	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03975844	neg	606	0.000044	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01642901	pos	607	0.000044	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27508620	neg	608	0.0000445	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27324527	neg	609	0.0000445	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04711998	pos	610	0.0000446	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23009780	neg	611	0.0000447	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25112877	neg	612	0.0000447	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05229311	neg	613	0.000045	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06237717	neg	614	0.0000453	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00895196	pos	615	0.0000455	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01004382	pos	616	0.0000457	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27323154	pos	617	0.0000457	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18604215	pos	618	0.000046	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14445914	neg	619	0.0000463	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg19878482	neg	620	0.0000466	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01429933	pos	621	0.0000466	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01525916	pos	622	0.0000467	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10938046	neg	623	0.0000471	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03223072	pos	624	0.0000472	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10068996	neg	625	0.0000472	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27272363	neg	626	0.0000473	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23201830	pos	627	0.0000476	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01449266	pos	628	0.0000476	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10398217	pos	629	0.0000478	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02409722	neg	630	0.0000485	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06472341	pos	631	0.0000486	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20693209	neg	632	0.0000488	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23515651	pos	633	0.0000489	NA	maternal hypertensive disorders in pregnancy	healthy controls
